"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","217","","POST Create API Tests","","com.api.tests.posts.CreatePostTests","testCreatePost_ResponseBodyShouldMatchRequest","POST /posts — response body should fully match the request","API: POST /posts. Ensures the response body matches the request payload. Issue: Response data may not match sent data."
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","141","","POST Create API Tests","","com.api.tests.posts.CreatePostTests","testCreatePost_WithValidPayload_ShouldReturn201","testCreatePost_WithValidPayload_ShouldReturn201(Map) POST /posts — valid payload {title=Post 2 Title, body=Body of post 2, userId=2}","API: POST /posts. Validates that various valid payloads return HTTP 201 Created."
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","135","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetAllPosts_ResponseTimeShouldBeAcceptable","GET /posts — response time should be within acceptable threshold","API: GET /posts. Checks that the response time is within the acceptable threshold. Issue: Slow response times may indicate performance problems."
"failed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","181","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetAllPosts_ShouldReturn100Posts","GET /posts — list should contain exactly 100 items","API: GET /posts. Checks that the returned list contains exactly 100 items. Issue: Incorrect item count returned."
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","115","","POST Create API Tests","","com.api.tests.posts.CreatePostTests","testCreatePost_ShouldReturnAutoGeneratedId","POST /posts — created post should have an auto-generated ID","API: POST /posts. Checks that the created post has an auto-generated ID. Issue: ID may not be generated or is null."
"failed","Tue Mar 31 10:34:03 UTC 2026","Tue Mar 31 10:34:03 UTC 2026","242","","GET Album API Tests","","com.api.tests.albums.GetAlbumTests","testGetAllAlbums_ShouldReturn200","GET /albums — should return 200 with albums list",""
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","171","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_WithInvalidId_ShouldReturn404","testGetPostById_WithInvalidId_ShouldReturn404(String) GET /posts/abc — should return 404 Not Found","API: GET /posts/{id}. Checks that various invalid post IDs return HTTP 404."
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","106","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostsByUserId_ShouldReturnFilteredPosts","testGetPostsByUserId_ShouldReturnFilteredPosts(int, int) GET /posts?userId=2 — user 2 should have 10 posts","API: GET /posts?userId={0}. Verifies that filtering by userId works correctly for multiple users."
"passed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","124","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_ShouldReturn200WithPost","testGetPostById_ShouldReturn200WithPost(int) GET /posts/10 — should return 200","API: GET /posts/{id}. Verifies that multiple valid post IDs return HTTP 200 and correct post data."
"passed","Tue Mar 31 10:33:58 UTC 2026","Tue Mar 31 10:34:00 UTC 2026","1720","","GET Todo API Tests","","com.api.tests.todos.GetTodoTests","testGetAllTodos_ShouldReturn200","GET /todos — should return 200 with todos list",""
"failed","Tue Mar 31 10:34:03 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","214","","DELETE Post API Tests","","com.api.tests.posts.DeletePostTests","testDeletePost_ShouldMatchPostJsonSchema","DELETE /posts/{id} — response should match post JSON schema","API: DELETE /posts/{id}. Validates that the response after deletion matches the post JSON schema. Note: JSONPlaceholder returns an empty object, which may cause failure if schema requires fields."
"passed","Tue Mar 31 10:34:00 UTC 2026","Tue Mar 31 10:34:01 UTC 2026","1109","","GET Photo API Tests","","com.api.tests.photos.GetPhotoTests","testGetAllPhotos_ShouldReturn200","GET /photos — should return 200 with photos list",""
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","211","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostsByUserId_ShouldReturnFilteredPosts","testGetPostsByUserId_ShouldReturnFilteredPosts(int, int) GET /posts?userId=1 — user 1 should have 10 posts","API: GET /posts?userId={0}. Verifies that filtering by userId works correctly for multiple users."
"passed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","90","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_WithInvalidId_ShouldReturn404","testGetPostById_WithInvalidId_ShouldReturn404(String) GET /posts/0 — should return 404 Not Found","API: GET /posts/{id}. Checks that various invalid post IDs return HTTP 404."
"passed","Tue Mar 31 10:34:01 UTC 2026","Tue Mar 31 10:34:02 UTC 2026","229","","GET Comment API Tests","","com.api.tests.comments.GetCommentTests","testGetCommentsByPostId_ShouldReturnCommentsList","GET /comments?postId=1 — should return comments for the given post",""
"passed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","137","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_ShouldReturn200WithPost","testGetPostById_ShouldReturn200WithPost(int) GET /posts/1 — should return 200","API: GET /posts/{id}. Verifies that multiple valid post IDs return HTTP 200 and correct post data."
"passed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","104","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_WithInvalidId_ShouldReturn404","testGetPostById_WithInvalidId_ShouldReturn404(String) GET /posts/9999 — should return 404 Not Found","API: GET /posts/{id}. Checks that various invalid post IDs return HTTP 404."
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","102","","POST Create API Tests","","com.api.tests.posts.CreatePostTests","testCreatePost_ShouldMatchPostJsonSchema","POST /posts — response should match post JSON schema","API: POST /posts. Validates that the created post response matches the expected JSON schema."
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","196","","POST Create API Tests","","com.api.tests.posts.CreatePostTests","testCreatePost_WithValidPayload_ShouldReturn201","testCreatePost_WithValidPayload_ShouldReturn201(Map) POST /posts — valid payload {title=Post 1 Title, body=Body of post 1, userId=1}","API: POST /posts. Validates that various valid payloads return HTTP 201 Created."
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:07 UTC 2026","209","","PUT/PATCH Update API Tests","","com.api.tests.posts.UpdatePostTests","testPutPost_WithValidPayload_ShouldReturn200","PUT /posts/{id} — full update should return 200",""
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","98","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostsByUserId_ShouldReturnFilteredPosts","testGetPostsByUserId_ShouldReturnFilteredPosts(int, int) GET /posts?userId=3 — user 3 should have 10 posts","API: GET /posts?userId={0}. Verifies that filtering by userId works correctly for multiple users."
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:05 UTC 2026","170","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_WithInvalidId_ShouldReturn404","testGetPostById_WithInvalidId_ShouldReturn404(String) GET /posts/-1 — should return 404 Not Found","API: GET /posts/{id}. Checks that various invalid post IDs return HTTP 404."
"passed","Tue Mar 31 10:34:07 UTC 2026","Tue Mar 31 10:34:07 UTC 2026","138","","PUT/PATCH Update API Tests","","com.api.tests.posts.UpdatePostTests","testPatchPost_ShouldUpdateOnlySpecifiedFields","PATCH /posts/{id} — partial update of title should return 200",""
"passed","Tue Mar 31 10:34:05 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","84","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPost_ShouldMatchPostJsonSchema","GET /posts/{id} — response should match post JSON schema","API: GET /posts/{id}. Validates that the response matches the expected post JSON schema. Issue: Schema mismatch or missing required fields."
"passed","Tue Mar 31 10:34:03 UTC 2026","Tue Mar 31 10:34:03 UTC 2026","121","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetAllUsers_ShouldMatchUserListJsonSchema","GET /users — response should match user list JSON schema","API: GET /users. Validates that the response array matches the expected user list JSON schema."
"passed","Tue Mar 31 10:34:07 UTC 2026","Tue Mar 31 10:34:07 UTC 2026","199","","PUT/PATCH Update API Tests","","com.api.tests.posts.UpdatePostTests","testPutPost_ShouldMatchPostJsonSchema","PUT /posts/{id} — response should match post JSON schema","API: PUT /posts/{id}. Validates that the fully updated post matches the JSON schema."
"passed","Tue Mar 31 10:34:02 UTC 2026","Tue Mar 31 10:34:03 UTC 2026","310","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetUser_ShouldMatchUserJsonSchema","GET /users/{id} — response should match user JSON schema","API: GET /users/{id}. Validates that the response matches the expected user JSON schema. Issue: Schema mismatch or missing required fields."
"passed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","191","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetAllPosts_ShouldReturn200WithPostsList","GET /posts — should return 200 with a non-empty JSON array","API: GET /posts. Verifies that the endpoint returns HTTP 200 and a non-empty JSON array with valid fields. Issue: Endpoint may return empty array or missing fields."
"passed","Tue Mar 31 10:34:04 UTC 2026","Tue Mar 31 10:34:04 UTC 2026","102","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetPostById_ShouldReturn200WithPost","testGetPostById_ShouldReturn200WithPost(int) GET /posts/5 — should return 200","API: GET /posts/{id}. Verifies that multiple valid post IDs return HTTP 200 and correct post data."
"passed","Tue Mar 31 10:34:02 UTC 2026","Tue Mar 31 10:34:02 UTC 2026","144","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetUserById_ShouldReturn200WithUser","testGetUserById_ShouldReturn200WithUser(int, String, String) GET /users/1 — should return 200 for user Leanne Graham","API: GET /users/{id}. Verifies that multiple valid user IDs return HTTP 200 and correct user data."
"passed","Tue Mar 31 10:34:02 UTC 2026","Tue Mar 31 10:34:02 UTC 2026","235","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetAllUsers_ShouldReturn200WithUsersList","GET /users — should return 200 with 10 users","API: GET /users. Verifies that the endpoint returns HTTP 200 and a list of 10 users. Checks that each user object contains id, name, email, and username fields. Issue: Endpoint may return incorrect user count or missing fields."
"passed","Tue Mar 31 10:34:06 UTC 2026","Tue Mar 31 10:34:06 UTC 2026","132","","GET Post API Tests","","com.api.tests.posts.GetPostTests","testGetAllPosts_ShouldMatchPostListJsonSchema","GET /posts — response should match post list JSON schema","API: GET /posts. Validates that the response array matches the expected post list JSON schema."
"passed","Tue Mar 31 10:34:07 UTC 2026","Tue Mar 31 10:34:07 UTC 2026","106","","PUT/PATCH Update API Tests","","com.api.tests.posts.UpdatePostTests","testPatchPost_ShouldMatchPostJsonSchema","PATCH /posts/{id} — response should match post JSON schema","API: PATCH /posts/{id}. Validates that the partially updated post matches the JSON schema."
"passed","Tue Mar 31 10:34:02 UTC 2026","Tue Mar 31 10:34:02 UTC 2026","101","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetUserById_ShouldReturn200WithUser","testGetUserById_ShouldReturn200WithUser(int, String, String) GET /users/3 — should return 200 for user Clementine Bauch","API: GET /users/{id}. Verifies that multiple valid user IDs return HTTP 200 and correct user data."
"passed","Tue Mar 31 10:34:02 UTC 2026","Tue Mar 31 10:34:02 UTC 2026","146","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetUserById_ShouldReturn200WithUser","testGetUserById_ShouldReturn200WithUser(int, String, String) GET /users/2 — should return 200 for user Ervin Howell","API: GET /users/{id}. Verifies that multiple valid user IDs return HTTP 200 and correct user data."
"passed","Tue Mar 31 10:34:03 UTC 2026","Tue Mar 31 10:34:03 UTC 2026","112","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetUser_EmailShouldMatchPattern","GET /users/{id} — email field should contain '@'","API: GET /users/{id}. Checks that the email field contains '@'. Issue: Email format may be invalid or missing '@'."
"passed","Tue Mar 31 10:34:03 UTC 2026","Tue Mar 31 10:34:03 UTC 2026","119","","GET User API Tests","","com.api.tests.users.GetUserTests","testGetUser_NestedAddressShouldExist","GET /users/{id} — nested address and company objects should exist","API: GET /users/{id}. Verifies that nested address and company objects exist and contain required fields. Issue: Missing nested objects or fields."
"passed","Tue Mar 31 10:34:03 UTC 2026","Tue Mar 31 10:34:03 UTC 2026","199","","DELETE Post API Tests","","com.api.tests.posts.DeletePostTests","testDeletePost_WithValidId_ShouldReturn200","DELETE /posts/{id} — should return 200",""
